Driver,FinishingPosition,Status,DNF_Dummy,FinishStatus,RaceTime,RacePace,GapToFastestRacePace,Position_Quali,QualiLap,GapToPole,GapToFastest_FP1,Position_FP1,RacePace_FP1,GapToFastest_FP2,Position_FP2,RacePace_FP2,GapToFastest_FP3,Position_FP3,RacePace_FP3,Round,AvgGapToPole,AvgFinishingPosition,AvgQualiPosition,AvgFP1Position,AvgFP2Position,AvgFP3Position,AvgGaptofastestRacePace,DNFPercentage,AvgFP1Gap,AvgFP2Gap,AvgFP3Gap,Team,Points,ChampPosition
ALB,5.0,Finished,0.0,Finished,6139.077,85.862,1.3810000000000002,6.0,75.737,0.6409999999999911,0.4609999999999985,6.0,79.3472,0.8630000000000138,11.0,78.50816666666667,0.3369999999999891,7.0,77.17433333333334,1,0.6409999999999911,5.0,6.0,6.0,11.0,7.0,1.3810000000000002,0.0,0.4609999999999985,0.8630000000000138,0.3369999999999891,Williams,10.0,5.0
ALO,17.0,Retired,1.0,DNF,,,,12.0,76.453,1.3569999999999993,0.48400000000000887,8.0,78.989875,0.8910000000000053,13.0,77.834,1.3489999999999895,17.0,78.257,1,1.3569999999999993,17.0,12.0,8.0,13.0,17.0,,1.0,0.48400000000000887,0.8910000000000053,1.3489999999999895,Aston Martin,0.0,11.0
ANT,4.0,Finished,0.0,Finished,6136.439,86.203,1.7220000000000084,16.0,76.525,1.429000000000002,1.1380000000000052,14.0,80.2704,1.1950000000000074,16.0,78.94966666666666,0.2849999999999966,5.0,76.9194,1,1.429000000000002,4.0,16.0,14.0,16.0,5.0,1.7220000000000084,0.0,1.1380000000000052,1.1950000000000074,0.2849999999999966,Mercedes,12.0,4.0
BEA,14.0,Finished,0.0,Finished,6166.655,87.603,3.122,20.0,,,2.0600000000000023,20.0,80.66825,,,,,,,1,,14.0,20.0,20.0,,,3.122,0.0,2.0600000000000023,,,Haas,0.0,11.0
BOR,16.0,Retired,1.0,DNF,,84.481,0.0,15.0,77.52,2.4239999999999924,1.186000000000007,15.0,80.24016666666667,1.4080000000000013,18.0,78.8572,0.7859999999999872,11.0,77.7068,1,2.4239999999999924,16.0,15.0,15.0,18.0,11.0,0.0,1.0,1.186000000000007,1.4080000000000013,0.7859999999999872,Kick Sauber,0.0,11.0
DOO,19.0,Retired,1.0,DNF,,,,14.0,76.863,1.766999999999996,0.980000000000004,13.0,79.74814285714285,0.9550000000000125,14.0,78.45233333333333,1.0719999999999885,15.0,77.63980000000001,1,1.766999999999996,19.0,14.0,13.0,14.0,15.0,,1.0,0.980000000000004,0.9550000000000125,1.0719999999999885,,0.0,11.0
GAS,11.0,Finished,0.0,Finished,6152.8060000000005,85.02,0.5390000000000015,9.0,75.98,0.8840000000000003,1.2530000000000001,17.0,79.36375,1.054000000000002,15.0,78.54459999999999,0.7979999999999876,12.0,77.550375,1,0.8840000000000003,11.0,9.0,17.0,15.0,12.0,0.5390000000000015,0.0,1.2530000000000001,1.054000000000002,0.7979999999999876,Alpine,0.0,11.0
HAD,20.0,Retired,1.0,DNF,,,,11.0,76.175,1.0789999999999935,0.5949999999999989,9.0,80.26520000000001,0.5800000000000125,6.0,77.9115,0.8109999999999928,13.0,77.6022,1,1.0789999999999935,20.0,11.0,9.0,6.0,13.0,,1.0,0.5949999999999989,0.5800000000000125,0.8109999999999928,Racing Bulls,0.0,11.0
HAM,10.0,Finished,0.0,Finished,6148.777,85.863,1.382000000000005,8.0,75.973,0.8769999999999953,0.8190000000000026,12.0,79.10716666666667,0.4200000000000017,5.0,78.69571428571429,0.45699999999999363,8.0,76.78866666666667,1,0.8769999999999953,10.0,8.0,12.0,5.0,8.0,1.382000000000005,0.0,0.8190000000000026,0.4200000000000017,0.45699999999999363,Ferrari,1.0,10.0
HUL,7.0,Finished,0.0,Finished,6144.727,86.35749999999999,1.876499999999993,17.0,76.579,1.4829999999999899,1.3340000000000032,18.0,79.61125,0.7220000000000084,8.0,77.92633333333333,1.2249999999999943,16.0,77.5555,1,1.4829999999999899,7.0,17.0,18.0,8.0,16.0,1.876499999999993,0.0,1.3340000000000032,0.7220000000000084,1.2249999999999943,Kick Sauber,6.0,7.0
LAW,15.0,Retired,1.0,DNF,,84.9615,0.48050000000000637,18.0,77.094,1.9979999999999905,1.203000000000003,16.0,79.18383333333334,1.2010000000000076,17.0,78.3374,30.939999999999998,19.0,,1,1.9979999999999905,15.0,18.0,16.0,17.0,19.0,0.48050000000000637,1.0,1.203000000000003,1.2010000000000076,30.939999999999998,Racing Bulls,0.0,11.0
LEC,8.0,Finished,0.0,Finished,6146.13,86.051,1.5700000000000074,7.0,75.755,0.6589999999999918,0.20900000000000318,3.0,78.2105,0.0,1.0,79.49081818181818,0.2669999999999959,4.0,76.694,1,0.6589999999999918,8.0,7.0,3.0,1.0,4.0,1.5700000000000074,0.0,0.20900000000000318,0.0,0.2669999999999959,Ferrari,4.0,8.0
NOR,1.0,Finished,0.0,Finished,6126.304,86.01333333333334,1.5323333333333409,1.0,75.096,0.0,0.0,1.0,78.65516666666666,0.14100000000000534,3.0,78.74783333333333,0.6759999999999877,10.0,77.43299999999999,1,0.0,1.0,1.0,1.0,3.0,10.0,1.5323333333333409,0.0,0.0,0.14100000000000534,0.6759999999999877,McLaren,25.0,1.0
OCO,13.0,Finished,0.0,Finished,6159.465,86.764,2.2830000000000013,19.0,77.147,2.051000000000002,1.8870000000000005,19.0,79.8744,1.595000000000013,19.0,78.61883333333334,1.4519999999999982,18.0,78.37100000000001,1,2.051000000000002,13.0,19.0,19.0,19.0,18.0,2.2830000000000013,0.0,1.8870000000000005,1.595000000000013,1.4519999999999982,Haas,0.0,11.0
PIA,9.0,Finished,0.0,Finished,6146.752,85.247,0.7660000000000053,2.0,75.18,0.08400000000000318,0.41800000000000637,4.0,79.24133333333333,0.12400000000000944,2.0,77.3938,0.0,1.0,76.545,1,0.08400000000000318,9.0,2.0,4.0,2.0,1.0,0.7660000000000053,0.0,0.41800000000000637,0.12400000000000944,0.0,McLaren,2.0,9.0
RUS,3.0,Finished,0.0,Finished,6134.785,85.652,1.1710000000000065,4.0,75.546,0.45000000000000284,0.46399999999999864,7.0,80.565625,0.8430000000000035,10.0,79.6387,0.03899999999998727,2.0,76.44425,1,0.45000000000000284,3.0,4.0,7.0,10.0,2.0,1.1710000000000065,0.0,0.46399999999999864,0.8430000000000035,0.03899999999998727,Mercedes,15.0,3.0
